id,name,type,usage_count
102714,sky-freedom,1,1197
102715,nishi_koutarou,1,1295
103021,mamuru,1,859
103151,pas_(paxiti),1,951
103244,ucmm,1,824
103416,culter,1,720
103663,namaniku_atk,1,686
103875,kabocha_torute,1,869
104356,yuto_(dialique),1,614
105299,komeshiro_kasu,1,880
105925,deco_(geigeki_honey),1,691
105954,miyo_(ranthath),1,1750
105992,popqn,1,700
106318,fuya_(tempupupu),1,730
106595,watanon_(gakushokutei),1,576
106869,personal_ami,1,1240
107039,oni-noboru,1,822
107063,ryuusei_(mark_ii),1,732
107330,siirakannu,1,520
107561,hetza_(hellshock),1,829
107968,seramikku,1,660
107984,shigino_sohuzi,1,861
108089,hakusai_(tiahszld),1,537
108093,meth_(emethmeth),1,540
108233,ame.,1,584
108270,roki_(hirokix),1,603
108278,hammer_(sunset_beach),1,5291
108323,aurahack,1,663
108407,kanon_(kurogane_knights),1,3699
108872,yua_(checkmate),1,2200
108941,ysys,1,614
109099,koyama_shigeru,1,2032
109634,tusia,1,525
109682,yume_shokunin,1,895
110980,kawakami_rokkaku,1,792
111176,konnyaku_(kk-monmon),1,921
111360,ebiblue,1,598
112795,wokada,1,647
113147,ayu_(mog),1,1561
113159,natsu_(anta_tte_hitoha),1,659
113316,tani_takeshi,1,3411
113328,kotorai,1,1428
113500,goma_(yoku_yatta_hou_jane),1,1119
113724,amezawa_koma,1,590
114122,saru,1,921
114280,aoshima,1,1137
114368,uni_mate,1,622
114474,taketora_suzume,1,630
114642,ssalbulre,1,539
115348,ryosios,1,585
115673,kaga3chi,1,676
115743,quick_waipa,1,594
115878,bae_(baebae),1,598
116007,tonee,1,1243
116303,momoko_(momopoco),1,990
116701,niichi_(komorebi-palette),1,1009
116785,echo_(circa),1,1274
117012,aikawa_ryou,1,661
117375,nyuu_(manekin-eko),1,612
117552,mazjojo,1,615
118123,yuzuna99,1,667
118234,amazon_(taitaitaira),1,770
118297,ao_banana,1,647
118395,m.m,1,727
119385,ricegnat,1,680
119676,doyouwantto,1,593
119751,horosuke,1,1613
120619,mishima_kurone,1,1341
120886,hayashi_custom,1,629
120925,nannacy7,1,568
120928,fumitan_(humitan),1,740
120978,belko,1,1866
120997,h_kasei,1,570
121515,infinote,1,679
121883,aile_(crossroads),1,682
121939,nakamura_regura,1,664
122276,goma_(gomasamune),1,1420
122671,mtu_(orewamuzituda),1,844
123025,harimoji,1,606
123062,itomugi-kun,1,4383
123069,masukuza_j,1,1266
123617,at_classics,1,700
123756,yutakasan-love,1,582
123951,yuuki_rika,1,555
124294,mashiro_miru,1,833
124613,wool_(miwol),1,629
125392,lambda_(kusowarota),1,940
125503,tukino_neru,1,547
125724,anbe_yoshirou,1,528
125759,neoartcore,1,797
126043,setz,1,970
126678,namie-kun,1,560
126993,jizeru_(giselebon),1,816
127333,sakimiya_(inschool),1,707
127376,komusou_(jinrikisha),1,863
127412,meow_(nekodenki),1,1207
127506,narumi_arata,1,597
127542,mataro_(matarou),1,831
127921,clearite,1,1442
127970,40hara,1,804
128199,puuzaki_puuna,1,560
128352,swordsouls,1,706
128565,hitsukuya,1,685
129026,dakku_(ogitsune),1,533
129151,amano_kouki,1,585
129397,gogiga_gagagigo,1,763
129710,dora_ita,1,558
129725,ri-net,1,594
